kanji,meaning,readings,compounds,sentence,kana,translation,radicals,confusables
観,"outlook, look, appearance, condition, view","カン; み.る, しめ.す","外観 (がいかん·0) = appearance, exterior, facade; 楽観的 (らっかんてき·0) = optimistic, hopeful; 観客 (かんきゃく·0) = audience, spectator(s); 観光 (かんこう·0) = sightseeing; 観察 (かんさつ·0) = observation, survey",彼の観察は正確だ。,,彼(かれ) 観察 は 正確 だ,見 隹 矢 乞,"歓,権,竹"
角,"angle, corner, square, horn, antlers","カク; かど, つの","町角 (まちかど·0) = street corner; 角 (かど·1) = corner (eg desk, pavement), edge; 角度 (かくど·1) = angle; 曲り角 (まがりかど·4,0) = street corner, road turn, bend in the road, turning point; 三角 (さんかく·1) = triangle, triangular",そこの角ですよ。,,其処(そこ) の 角(かど) です よ,勹 月 ｜,"朋,胞,陥"
訓,"instruction, Japanese character reading, explanation, read","クン, キン; おし.える, よ.む, くん.ずる","訓える (おしえる·0) = to teach, to inform, to instruct; 教訓 (きょうくん·0) = lesson, precept, moral instruction; 訓連 (くんれん·1) = practice, practise, training; 特訓 (とっくん·0) = special training, intensive training, crash course",この教訓を忘れるな。,,此の 教訓 を 忘れる な,言 川,"談,訪,記"
記,"scribe, account, narrative",キ; しる.す,"記す (しるす·0,2) = to note, to write down; 記憶 (きおく·0) = memory, recollection, remembrance, storage; 記号 (きごう·0) = symbol, code, sign; 記事 (きじ·1) = article, news story, report, account; 記者 (きしゃ·1,2) = reporter",前記参照。,,前記 参照,言 已,"巳,己,配"
詩,"poem, poetry",シ; うた,"詩 (うた·2) = song, classical Japanese poetry (esp. tanka), modern poetry; 詩人 (しじん·0) = poet; 詩歌 (しか·1,2) = Japanese (and Chinese) poetry",彼は詩人だ。,,彼(かれ) は 詩人 だ,言 寸 土,"討,封,寺"
課,"chapter, lesson, section, department, division, counter for chapters (of a book)",カ,"課 (か·1) = lesson, section (in an organization), division, department, counter for lessons and chapters (of a book); 課税 (かぜい·0) = taxation; 課題 (かだい·0) = subject, theme, task; 課長 (かちょう·0) = section manager, section chief; 課程 (かてい·0) = course, curriculum",第２課は易しい。,,第 課 は 易しい,言 田 木,"謀,裸,菓"
調,"tune, tone, meter, key (music), writing style, prepare, exorcise, investigate","チョウ; しら.べる, しら.べ, ととの.う, ととの.える","下調べ (したしらべ·3,0) = preliminary investigation, preparation; 強調 (きょうちょう·0) = emphasis, highlight, stress, stressed point; 好調 (こうちょう·0) = favourable, favorable, promising, satisfactory, in good shape; 順調 (じゅんちょう·0) = favourable, favorable, doing well, OK, all right; 体調 (たいちょう·0) = physical condition",その調子だ。,,其の 調子 だ,言 口 土 冂,"周,尚,向"
談,"discuss, talk",ダン,"縁談 (えんだん·0) = marriage proposal, engagement; 会談 (かいだん·0) = conversation, conference, discussion, interview; 座談会 (ざだんかい·2) = symposium, round-table discussion; 雑談 (ざつだん·0) = chatting, idle talk; 商談 (しょうだん·0) = business discussion, negotiation",相談し合う。,,相談 為る(する) 合う,火 言,"炎,訪,記"
議,"deliberation, consultation, debate, consideration",ギ,"会議 (かいぎ·1,3) = meeting, conference, session, assembly, council, convention, congress; 議員 (ぎいん·1) = member of the Diet, congress or parliament; 議会 (ぎかい·1) = Diet, congress, parliament; 議決 (ぎけつ·0) = resolution, decision, vote; 議題 (ぎだい·0) = topic of discussion, agenda",会議に出席する。,,会議 に 出席 為る(する),一 王 言 并 羊 亅 戈 手,"義,犠,儀"
谷,valley,"コク; たに, きわ.まる","谷 (たに·2) = valley; 谷間 (たにま·3,0) = valley, ravine; 渓谷 (けいこく·0) = valley, gorge, ravine; 谷川 (たにがわ·0) = mountain stream; 谷底 (たにぞこ·0) = bottom of valley",四谷駅で降りて下さい。,,駅 で(#2028980) 降りる 下さい,口 ハ 个,"呉,只,介"
豆,"beans, pea, midget","トウ, ズ; まめ, まめ-","小豆 (あずき·3) = adzuki beans; 大豆 (だいず·0) = soya bean (soybean), soy (Glycine max); 豆腐 (とうふ·0,3) = tofu, bean-curd; 納豆 (なっとう·3) = natto (fermented soybeans)",妹は豆の皮をむいた。,,妹 は 豆 の 皮 を 剥く,口 并,"閲,鉛,舌"
象,"elephant, pattern after, imitate, image, shape, sign (of the times)","ショウ, ゾウ; かたど.る","印象 (いんしょう·0) = impression; 気象 (きしょう·0) = weather, climate; 現象 (げんしょう·0) = phenomenon; 象徴 (しょうちょう·0) = symbol; 対象 (たいしょう·0) = target, object (of worship, study, etc.), subject (of taxation, etc.)",象は鼻が長い。,,象(ぞう) は 鼻 が 長い,勹 豕 口 一,"像,号,啄"
貝,shellfish,バイ; かい,"貝 (かい·1) = shell, shellfish; 貝がら (かいがら·3,0) = shell; 貝殻 (かいがら) = shell",貝は好きではない。,,貝(かい) は 好き(すき) では無い,目 ハ,"買,具,貧"
負,"defeat, negative, -, minus, bear, owe, assume a responsibility","フ; ま.ける, ま.かす, お.う","勝負 (しょうぶ·1) = victory or defeat, match, contest, game, bout; 背負う (しょう·0) = to be burdened with, to carry on back or shoulder; 負う (おう·0) = to bear, to owe; 負け (まけ·0) = defeat, loss, losing (a game); 負ける (まける·0) = to lose, to be defeated",負けるな。,,負ける な,貝 目 ハ 勹,"買,貝,貧"
貨,"freight, goods, property",カ; たから,"貨車 (かしゃ·1) = freight car, van; 貨物 (かぶつ·1) = cargo, freight, money or assets; 貨幣 (かへい·1) = money, currency, coinage; 外貨 (がいか·1) = imported goods, foreign money; 硬貨 (こうか·1) = coin",私は硬貨で払った。,,私(わたし) は 硬貨 で(#2028980) 払う,化 貝 目 ハ 匕,"傾,買,賃"
貯,"savings, store, lay in, keep, wear mustache","チョ; た.める, たくわ.える","貯金 (ちょきん·0) = (bank) savings; 貯える (たくわえる·4,3) = to store, to lay in stock",彼は貯金を増やした。,,彼(かれ) は 貯金 を 増やす,一 貝 目 ハ 亅 宀,"頂,財,買"
費,"expense, cost, spend, consume, waste","ヒ; つい.やす, つい.える","会費 (かいひ·0) = membership fee; 学費 (がくひ·0) = tuition, school expenses; 経費 (けいひ·1) = expenses, cost, outlay; 交通費 (こうつうひ·3) = traveling expenses, travelling expenses, carfare; 光熱費 (こうねつひ·4,3) = cost of fuel and light",私費で旅行した。,,私費で 旅行 為る(する),｜ 貝 目 ハ 弓,"買,貝,弔"
賞,"prize, reward, praise",ショウ; ほ.める,"観賞 (かんしょう·0) = admiration, enjoyment; 鑑賞 (かんしょう·0) = appreciation (eg of art), aesthetic sense; 懸賞 (けんしょう·0) = offering prizes, winning, reward; 賞 (しょう·1) = prize, award; 賞金 (しょうきん·0) = prize, monetary award",賞は彼の手に。,,賞 は 彼(かれ) の 手 に,貝 目 ハ 口 尚 冖,"償,唄,買"
路,"path, route, road, distance","ロ, ル; -じ, みち","回路 (かいろ·1) = circuit (electric); 航路 (こうろ·1) = course, (sea) route, run; 高速道路 (こうそくどうろ·5) = highway, freeway, expressway, motorway; 十字路 (じゅうじろ·3) = crossroads; 進路 (しんろ·1) = route, course, career, university choices, course (of future life)",「道路工事中」,,道路 工事中,口 足 夂 止,"露,蕗,足"
身,"somebody, person, one's station in life",シン; み,"刺し身 (さしみ·3) = sashimi (sliced raw fish); 自身 (じしん·1) = by oneself, personally; 受け身 (うけみ·0,3,2) = passive, passive voice; 出身 (しゅっしん·0) = person's origin (town, city, country, etc.), institution from which one graduated; 上半身 (じょうはんしん·3) = upper half of body, bust",独身ですか。,,独身 ですか,,
軍,"army, force, troops, war, battle",グン,"海軍 (かいぐん·1) = navy; 空軍 (くうぐん·0) = Air Force; 軍 (ぐん·1) = army, force, troops; 軍拡 (ぐんかく·0) = military expansion, expansion of armaments; 軍艦 (ぐんかん·0) = warship, battleship",勝てば官軍。,,勝つ 官軍,車 冖,"暉,揮,輝"
輪,"wheel, ring, circle, link, loop, counter for wheels and flowers",リン; わ,"車輪 (しゃりん·0) = (car) wheel; 年輪 (ねんりん·0) = annual tree ring; 輪ゴム (わゴム·0) = rubber band; 輪廓 (りんかく·0) = contours, outlines, features",車輪が回りだした。,,車輪 が 回り出す,｜ 一 車 个 冊 廾,"論,倫,綸"
辞,"resign, word, term, expression","ジ; や.める, いな.む","御辞儀 (おじぎ·0) = bow; 御世辞 (おせじ·0) = flattery, compliment; 辞 (けとば·3) = language, dialect, word, words, phrase, term, expression, remark, speech, (manner of) speaking; 辞書 (じしょ·1) = dictionary, lexicon, letter of resignation; 辞職 (じしょく·0) = resignation",彼は辞職した。,,彼(かれ) は 辞職 為る(する),口 十 辛 舌 立,"辛,叶,古"
農,"agriculture, farmers",ノウ,"農家 (のうか·1) = farmer, farm family; 農協 (のうきょう·0) = agricultural cooperative; 農業 (のうぎょう·1) = agriculture; 農耕 (のうこう·0) = farming, agriculture; 農場 (のうじょう·0,3) = farm (agriculture)",私は農場で働いた。,,私(わたし) は 農場 で(#2028980) 働く,｜ 衣 一 辰 日 厂,"濃,曹,晨"
辺,"environs, boundary, border, vicinity","ヘン; あた.り, ほと.り, -べ","海辺 (かいへん·0) = beach, seashore; 岸辺 (きしべ·0,3) = bank (of a river); 周辺 (しゅうへん·0) = circumference, outskirts, environs, around, in the area of, in the vicinity of, (computer) peripheral; 浜辺 (はまべ·0,3) = beach, foreshore; 辺 (へん·0) = area, vicinity, side (of triangle, rectangle, etc.), circumstances",まずその辺です。,,先ず その辺 です,込 刀,"初,連,逐"
返,"return, answer, fade, repay","ヘン; かえ.す, -かえ.す, かえ.る, -かえ.る","引返す (ひきかえす·3) = to repeat, to send back, to bring back, to retrace one's steps; 恩返し (おんがえし·3) = requital of a favour, requital of a favor; 繰返す (くりかえす·3,0) = to repeat, to do something over again; 言返す (いいかえす·3) = to repeat, to talk back, to answer back; 取返す (とりかえす·3,0) = to regain, to recover, to get back; 返事 (へんじ) = reply, answer",引き返そう。,,引き返す,込 又 厂,"反,皮,版"
追,"chase, drive away, follow, pursue, meanwhile",ツイ; お.う,"追いこす (おいこす·3) = to pass (eg car), to outdistance, to outstrip; 追い込む (おいこむ·3) = to herd, to corner, to drive; 追い出す (おいだす·3) = to expel, to drive out; 追加 (ついか·0) = addition, supplement, append (eg to a file), appendix; 追及 (ついきゅう·0) = investigation (eg into someone's guilt), questioning, pressing, catching up, overtaking",流行を追うな。,,流行 を 追う な,｜ 口 込,"遣,中,速"
速,"quick, fast","ソク; はや.い, はや-, はや.める, すみ.やか","加速 (かそく·0) = acceleration; 快速 (かいそく·0) = high speed, celerity, mobility, express (train that bypasses many stations); 急速 (きゅうそく·0) = rapid (eg progress); 減速 (げんそく·0) = deceleration; 高速 (こうそく·0) = high speed, high gear, highway, freeway, expressway, motorway",全速前進。,,全速 前進,｜ 一 口 込 ハ 木,"束,遣,追"
連,"take along, lead, join, connect, party, gang, clique","レン; つら.なる, つら.ねる, つ.れる, -づ.れ","訓連 (くんれん·1) = practice, practise, training; 国連 (こくれん·0) = UN, United Nations; 連ねる (つらねる·3) = to link, to join, to put together; 連れ (つれ·0) = companion, company; 連れる (つれる·0) = to lead, to take (a person)",旅は道連れ。,,旅 は 道連れ,込 車,"蓮,陣,逐"
遊,play,"ユウ, ユ; あそ.ぶ, あそ.ばす","遊び (あそび·0) = playing; 遊ぶ (あそぶ·0) = to play, to make a visit (esp. for pleasure), to be idle, to do nothing; 遊園地 (ゆうえんち·3) = amusement park",遊びにこいよ。,,遊びに来る よ,込 子 方 乞,"竹,旋,放"
達,"accomplished, reach, arrive, attain","タツ, ダ; -たち","私達 (わたくしたち·4) = we, us; 上達 (じょうたつ·0) = improvement, advance, progress; 速達 (そくたつ·0) = express, special delivery; 達する (たっする·0,3) = to reach, to get to; 達成 (たっせい·0) = achievement",子供達は皆寝た。,,子供たち は 皆 寝る,王 込 土 并 羊,"遅,羊,養"
選,"elect, select, choose, prefer",セン; えら.ぶ,"選挙 (せんきょ·1) = election; 選手 (せんしゅ·1) = player (in game), team member; 選出 (せんしゅつ·0) = election; 選択 (せんたく·0) = selection, choice, option; 選定 (せんてい·0) = selection",これを選びます。,,此れ を 選ぶ,｜ 込 二 ハ 已,"巽,共,巳"
郡,"county, district",グン; こうり,"郡 (こおり·1) = district, county; 郡部 (ぐんぶ) = county districts",これは豊能郡の地図です。,,此れ は 郡 の 地図 です,一 口 邦 ノ ヨ,"君,右,呂"
部,"section, bureau, dept, class, copy, part, portion, counter for copies of a newspaper or magazine",ブ; -べ,"一部 (いちぶ·2) = one part, one portion, one section, some, one copy (eg of a document); 一部分 (いちぶぶん·3) = part, portion, section; 外部 (がいぶ·1) = the outside, external; 学部 (がくぶ·0,1) = department of a university, undergraduate; 幹部 (かんぶ·1) = management, (executive) staff, leaders",部屋を出ろ。,,部屋 を 出る,口 邦 立,"舌,石,陪"
配,"distribute, spouse, exile, rationing",ハイ; くば.る,"気配 (きはい·2,0,1) = indication, sign, hint, presence, trend, quotation (esp. stock market); 勾配 (こうばい·0) = slope, incline, gradient, grade, pitch; 支配 (しはい·1) = rule, control, direction; 手配 (てはい·1) = arrangement, search (by police); 心配 (しんぱい·0) = worry, concern, anxiety, care",心配するな。,,心配 為る(する) な,酉 已,"巳,己,酒"
酒,"sake, alcohol","シュ; さけ, さか-","居酒屋 (いざかや·0,3) = bar, pub, tavern; 禁酒 (きんしゅ·0) = prohibition, temperance, abstinence; 酒 (さけ·0) = alcohol, sake; 酒屋 (さかや·0) = liquor store, wine shop, bottle shop, sake dealer, liquor-store owner, brewer; 日本酒 (にほんしゅ·0) = sake, Japanese rice wine",彼は禁酒した。,,彼(かれ) は 禁酒 為る(する),汁 酉,"配,淡,浪"
里,"ri, village, parent's home, league",リ; さと,"郷里 (きょうり·1) = birth-place, home town; 里 (り·1) = ri (old Japanese unit of distance, approx. 3.927km or 2.44 miles), neighbourhood (under the ritsuryo system;  orig. of 50 homes), unit of area (approx. 654m by 654m); 旧里 (きゅうり·1) = home town, birthplace, old village, historic village, native place, one's old home",千里の道も一歩から。,,千里 の 道(みち) も 一歩 から,,
量,"quantity, measure, weight, amount, consider, estimate, surmise",リョウ; はか.る,"質量 (しつりょう·2) = mass; 重量 (じゅうりょう·3) = weight, heavyweight boxer; 数量 (すうりょう·3) = quantity, volume; 測量 (そくりょう·0,2) = measurement, surveying; 多量 (たりょう·0) = large quantity",スゴイ量だね！,,凄い 量 だ ね(#2029080),一 日 里,"糧,晋,旦"
鉄,iron,テツ; くろがね,"国鉄 (こくてつ·0) = national railway; 私鉄 (してつ·0) = private railway; 製鉄 (せいてつ·0) = iron manufacture; 地下鉄 (ちかてつ·0) = underground train, subway; 鉄 (てつ·0) = iron",鉄は硬い。,,鉄(てつ) は 硬い,ノ 金 二 矢 大 乞,"迭,邦,矢"
録,record,ロク,"記録 (きろく·0) = record, minutes, document, a record (eg in sports), results, score, to record, to document, to set a record (eg in sports), to show a result, to reach a value; 登録 (とうろく·0) = registration, accession, register, entry, record; 目録 (もくろく·0) = catalogue, catalog, list; 録音 (ろくおん·0) = (audio) recording",彼は記録を破った。,,彼(かれ) は 記録 を 破る,ヨ 金 水 隶,"逮,禄,康"
鏡,"mirror, speculum, barrel-head, round rice-cake offering","キョウ, ケイ; かがみ","鏡 (かがみ·3) = mirror; 顕微鏡 (けんびきょう·0) = microscope; 望遠鏡 (ぼうえんきょう·0) = telescope; 眼鏡 (めがね·1) = spectacles, glasses",目は心の鏡。,,目(め) は 心(こころ) の 鏡,音 金 日 立 儿,"境,章,晶"
関,"connection, barrier, gateway, involve, concerning","カン; せき, -ぜき, かか.わる, からくり, かんぬき","関する (かんする·3) = to concern, to be related; 関係 (かんけい·0) = relation, connection; 関心 (かんしん·0) = concern, interest; 関税 (かんぜい·0) = customs, duty, tariff; 関節 (かんせつ·0) = joints (knee joint, elbow joint, etc.)",無関係です。,,無関係 です,人 大 二 ハ 門 并 一,"咲,券,天"
陸,"land, six","リク, ロク; おか","上陸 (じょうりく·0) = landing, disembarkation; 大陸 (たいりく·0,1) = continent; 着陸 (ちゃくりく·0) = landing, alighting, touch down; 内陸 (ないりく·0) = inland; 離陸 (りりく·0) = takeoff",彼は陸軍士官だ。,,彼(かれ) は 陸軍 士官 だ,土 儿 阡,"陵,圭,陛"
陽,"sunshine, yang principle, positive, male, heaven, daytime",ヨウ; ひ,"太陽 (たいよう·1) = sun, solar; 陽気 (ようき·0,1) = cheerful, merry, season, weather; 陽当たり (ひあたり·0) = exposure to the sun, sunny place, per day; 陽射し (ひざし·0) = sunlight, rays of the sun; 陽 (よう·1) = yang, sunlight-side, warmth, sunshine, surface, appearances",太陽がまぶしい。,,太陽 が 眩しい,一 日 阡 勿,"晋,旦,腸"
隊,"regiment, party, company, squad",タイ,"部隊 (ぶたい·1) = unit, corps; 軍隊 (ぐんたい·1) = army, military; 隊長 (たいちょう·0) = squad leader, captain; 消防隊 (しょうぼうたい·0) = fire brigade",彼は軍隊にいる。,,彼(かれ) は 軍隊 に 居る(いる),并 豕 阡,"墜,遂,陣"
階,"storey, stair, counter for storeys of a building",カイ; きざはし,"階 (かい·1) = stories, storeys, counter for storeys and floors of a building; 階級 (かいきゅう·0) = class, rank, grade; 階段 (かいだん·0) = stairs, stairway, staircase; 段階 (だんかい·0) = gradation, grade, stage, steps, order, class, phase; 中産階級 (ちゅうさんかいきゅう·5) = middle class, bourgeoisie",８階にあります。,,階(かい) に 有る,白 比 阡,"皆,陛,鹿"
雪,snow,セツ; ゆき,"初雪 (はつゆき·0) = first snow (of season); 吹雪 (ふぶき·1) = snow storm; 積雪 (せきせつ·0) = fallen snow; 雪 (ゆき·2) = snow; 雪融け (ゆきどけ·0,4) = snow thaw, thawing",雪は消えた。,,雪 は 消える,ヨ 雨,"霞,需,雷"
雲,cloud,"ウン; くも, -ぐも","雲 (くも·1) = cloud; 雲海 (うんかい) = sea of clouds",空には雲がない。,,空(そら) には 雲 が 無い,一 雨 二 厶,"三,霊,曇"
静,quiet,"セイ, ジョウ; しず-, しず.か, しず.まる, しず.める","安静 (あんせい·0) = rest; 静止 (せいし·0) = stillness, repose, standing still; 静粛 (せいしゅく·0) = silent; 冷静 (れいせい·0) = calm, composure, coolness, serenity",静かに！,,静かに,月 青 土 亅 亠 勹 ヨ 二,"彗,靖,請"
面,"mask, face, features, surface","メン, ベン; おも, おもて, つら","一面 (いちめん·0,2) = one face, one surface, the whole surface, one aspect, one side, (on) the other hand, one broad, flat object, front page; 仮面 (かめん·0) = mask, disguise; 画面 (がめん·1,0) = terminal screen, scene, picture, the field (in TV), photo; 海面 (かいめん·0) = sea level, (surface of) sea; 外面 (げめん·1,0) = outer surface, outward appearance, outside, exterior, outside, outer, outward, exterior, external",面倒だな。,,面倒 だ な,,
順,"obey, order, turn, right, docility, occasion",ジュン,"手順 (てじゅん·0,1) = process, procedure, sequence, protocol, instruction; 順 (じゅん·0) = order, turn; 順位 (じゅんい·1) = order, rank, precedence; 順序 (じゅんじょ·1) = order, sequence, procedure; 順調 (じゅんちょう·0) = favourable, favorable, doing well, OK, all right",万事順調だ。,,万事 順調 だ,貝 目 ハ 川 頁,"買,顕,頒"
願,"petition, request, vow, wish, hope","ガン; ねが.う, -ねがい","願い (ねがい·2) = desire, wish, request, prayer, petition, application; 願う (ねがう·2) = to desire, to wish, to hope, to beg, to request, to implore, to pray, to have something done for oneself; 願書 (がんしょ·1) = written application or petition; 祈願 (きがん·1) = prayer; 出願 (しゅつがん·0) = application",星に願いを。,,星(ほし) に 願い を,貝 目 ハ 小 白 頁 厂,"買,原,顕"
類,"sort, kind, variety, class, genus",ルイ; たぐ.い,"種類 (しゅるい·1) = variety, kind, type, category, counter for different sorts of things; 書類 (しょるい·0) = documents, official papers; 親類 (しんるい·0) = relation, kin; 人類 (じんるい·1) = mankind, humanity; 同類 (どうるい·0) = the same kind, accomplice",類は友を呼ぶ。,,類(るい) は 友 を 呼ぶ,貝 目 ハ 大 米 頁,"買,顕,頒"
飛,"fly, skip (pages), scatter","ヒ; と.ぶ, と.ばす, -と.ばす","飛上がる (とびあがる) = to spring, to jump up, to fly up, to skip; 飛ばす (とばす·0) = to fly, to fire, to hurl, to skip over, to omit, to drop (eg stitch), to run or drive fast, to gallop, to spread a rumour (rumor), to tell a story, to remove, to get rid of, to transfer, to attack, to jeer at; 飛行 (ひこう·0) = aviation; 飛行機 (ひこうき·2) = aeroplane, airplane, aircraft; 飛行場 (ひこうじょう·0) = airfield, airport",鳥は飛ぶ。,,鳥 は 飛ぶ,,
養,"foster, bring up, rear, develop, nurture","ヨウ, リョウ; やしな.う","営養 (えいよう·0) = nutrition, nourishment; 休養 (きゅうよう·0) = rest, break, recreation; 教養 (きょうよう·0) = culture, education, refinement, cultivation; 扶養 (ふよう·0) = support, maintenance; 養う (やしなう·3,0) = to rear, to maintain, to support (eg family), to cultivate",医者の不養生。,,医者 の 不養生,王 食 并 羊,"羊,詳,美"
馬,horse,"バ; うま, うま-, ま","競馬 (けいば·0) = horse racing; 馬 (うま·2) = horse, promoted bishop (shogi)",馬鹿な！,,馬鹿,杰,"魚,焦,庶"
鳴,"chirp, cry, bark, sound, ring, echo, honk","メイ; な.く, な.る, な.らす","怒鳴る (どなる·2) = to shout, to yell; 悲鳴 (ひめい·0) = shriek, scream; 鳴らす (ならす·0) = to ring, to sound, to chime, to beat, to snort (nose); 鳴る (なる·0) = to sound, to ring, to resound, to echo, to roar, to rumble",羊は何て鳴くの？,,羊 は 何て 鳴く の,口 鳥 杰,"馬,舌,石"
麦,"barley, wheat",バク; むぎ,"蕎麦 (そまむぎ·1) = buckwheat (Fagopyrum esculentum), soba (Japanese buckwheat noodles); 小麦 (こむぎ·0,2) = wheat; 小麦粉 (こむぎこ·0,3) = wheat flour; 大麦 (おおむぎ·0,3) = barley (Hordeum vulgare); 麦 (むぎ·1) = wheat, barley, oat (oats)",ここで小麦を作る。,,此処 で(#2028980) 小麦 を 作る,夂 土 二 亠,"変,彗,表"
黄,yellow,"コウ, オウ; き, こ-","黄色い (きいろい·0) = yellow; 黄昏 (こうこん·0) = dusk, twilight; 黄色 (おうしょく·0) = yellow, amber; 黄葉 (もみじ·1) = autumn colours, fall colors, leaves changing color (colour), leaves turning red, red leaves",鼻汁は黄緑色です。,,鼻汁 は 黄緑色 です,田 ハ,"異,寅,八"
鼻,"nose, snout",ビ; はな,"耳鼻科 (じびか·0) = otolaryngology, concerning the ear, nose, and throat; 鼻 (はな·0) = nose",鼻声だね。,,鼻声 だ ね(#2029080),自 田 廾 目,"臭,息,算"
